X,Y,Z,Normalized Luminosity,Normalized Radius
492.56956,-1414.36655,1655.18815,0.00000,0.00234
1359.28755,-3903.80808,4568.41867,0.00000,0.00037
451.93548,-1297.06552,1518.95350,0.00000,0.00272
2192.15137,-6290.48700,7362.62545,0.00002,0.00036
433.50798,-1244.08440,1456.52475,0.00000,0.00323
692.70842,-1989.28013,2329.63986,0.00000,0.00126
630.42285,-1809.79519,2119.50856,0.00000,0.00137
618.11458,-1774.19798,2077.02358,0.00000,0.00190
439.12132,-1260.54425,1476.23566,0.00000,0.00145
246.69423,-708.86002,829.93926,0.00000,0.00298
393.64184,-1130.40233,1324.00394,0.00000,0.00215
656.39791,-1885.62077,2207.85900,0.00000,0.00099
500.25364,-1437.82196,1683.98207,0.00000,0.00109
951.56425,-2735.87628,3204.54491,0.00001,0.00092
246.65132,-706.78992,827.51140,0.00000,0.01196
393.51685,-1127.15874,1319.47792,0.00000,0.00176
875.41071,-2505.87127,2933.54637,0.00000,0.00069
132.84105,-380.54912,445.72292,0.00000,0.01518
785.38694,-2249.17682,2634.25113,0.00002,0.00130
4066.23589,-11653.18629,13646.79223,0.00000,0.00004
406.35336,-1163.29306,1363.01855,0.00000,0.00481
2079.30329,-5948.50257,6969.88658,0.00012,0.00020
1250.37759,-3579.40989,4193.29264,0.00000,0.00028
1172.63504,-3353.30974,3931.14006,0.00000,0.00049
583.05348,-1668.90102,1956.75445,0.00000,0.00174
1251.76460,-3580.47545,4196.71788,0.00000,0.00058
1103.37729,-3155.91238,3699.36519,0.00000,0.00059
154.95502,-443.72495,519.99029,0.00000,0.00611
892.52408,-2557.93586,2997.66254,0.00000,0.00114
658.18041,-1884.91653,2210.04866,0.00000,0.00157
413.62444,-1184.29429,1388.69239,0.00000,0.00376
231.37778,-663.00157,777.17774,0.00000,0.01427
274.78563,-787.42067,923.15573,0.00004,0.00245
1349.40747,-3871.32471,4534.27954,0.00000,0.00042
834.64038,-2394.42594,2804.64610,0.00000,0.00063
86.56639,-248.34472,290.90559,0.00000,0.86898
474.02905,-1360.25366,1593.13477,0.00002,0.00154
1349.04583,-3872.66345,4536.57001,0.00001,0.00055
179.62169,-515.66854,604.03985,0.00000,0.01718
148.48273,-425.92423,499.11553,0.00000,0.00468
285.51741,-818.89835,959.72546,0.06421,0.00509
1957.39675,-5621.79982,6587.38993,0.00000,0.00024
1155.85604,-3320.17404,3890.04075,0.00000,0.00066
221.06844,-634.83647,743.75097,0.00005,0.00747
179.69884,-516.04059,604.56256,0.00004,0.01248
520.55332,-1495.20682,1752.41725,0.00001,0.00310
602.44207,-1731.04266,2029.08129,0.00000,0.00167
88.17432,-252.85559,296.31089,0.00000,0.88403
375.88506,-1078.05315,1264.01380,0.00002,0.00120
391.93972,-1125.62153,1316.43411,0.00004,0.00281
267.36406,-768.33556,898.71286,0.00000,0.00429
846.60711,-2431.55281,2843.73172,0.00000,0.00087
1089.70088,-3128.53337,3659.52498,0.09990,0.00044
306.29088,-879.59060,1029.08445,0.00000,0.00345
399.07308,-1146.29643,1341.00087,0.00000,0.00308
305.60366,-877.90755,1027.10999,0.00001,0.00395
1178.50545,-3387.00670,3961.98939,0.00000,0.00045
379.42612,-1088.90482,1276.48953,0.00000,0.00286
839.85862,-2409.14742,2825.84280,0.00001,0.00113
511.50585,-1466.29599,1719.53366,0.00000,0.00187
653.36800,-1873.19328,2196.99649,0.00001,0.00084
3174.59348,-9102.60229,10676.54823,0.00000,0.00014
634.53573,-1822.62159,2137.28217,0.00000,0.00124
148.86379,-427.20053,500.72484,0.00000,0.01999
994.78578,-2856.06142,3348.79293,0.00000,0.00049
1341.45839,-3851.94054,4518.38865,0.00000,0.00049
245.71506,-705.08337,826.91970,0.00000,0.00434
379.55652,-1089.31231,1278.08323,0.00000,0.00181
226.57134,-650.32768,762.85604,0.00010,0.00256
620.94071,-1769.01322,2072.08842,0.00000,0.00178
1147.97357,-3270.49005,3830.65868,0.00000,0.00055
339.64048,-967.81305,1133.74554,0.00001,0.00248
574.12535,-1635.98149,1917.02082,0.00000,0.00167
1246.99209,-3553.63146,4163.85802,0.00001,0.00060
842.80373,-2403.39825,2817.93154,0.00000,0.00085
374.19553,-1066.25674,1250.25498,0.00000,0.00187
372.09234,-1061.26608,1244.29562,0.00001,0.00437
289.62915,-825.77556,968.02140,0.00000,0.00309
295.67606,-843.29507,988.73870,0.00000,0.00549
290.49677,-827.87777,971.05375,0.00000,0.00229
433.90380,-1238.82411,1452.15232,0.00000,0.00246
1203.91878,-3434.33042,4026.86107,0.00001,0.00048
481.89075,-1375.74322,1613.29725,0.00001,0.00121
652.19939,-1862.24623,2183.78210,0.00001,0.00128
999.44448,-2854.44363,3346.60639,0.00000,0.00052
602.72886,-1722.65263,2019.34250,0.00000,0.00131
749.96944,-2143.50343,2513.63565,0.00000,0.00169
