pl_name,hostname,ra,dec,sy_dist,X,Y,Z
Kepler-786 b,Kepler-786,293.7439223,38.9392217,485.318,151.99486525909174,-345.5340308806011,305.0202543475995
Kepler-787 b,Kepler-787,291.6924773,38.5729105,503.568,145.5202323769877,-365.81599670249153,313.9796954414571
Kepler-788 b,Kepler-788,290.0004154,38.5398551,1775.8,475.0707449942771,-1305.216700968289,1106.427941966416
Kepler-789 b,Kepler-789,295.9751549,38.9466396,1480.16,504.18985862824616,-1034.8811179179493,930.4231746003134
Kepler-79 b,Kepler-79,300.5171067,44.3815508,1020.72,370.4401747814321,-628.4534778211782,713.9255013811791
Kepler-79 c,Kepler-79,300.5171067,44.3815508,1020.72,370.4401747814321,-628.4534778211782,713.9255013811791
Kepler-79 d,Kepler-79,300.5171067,44.3815508,1020.72,370.4401747814321,-628.4534778211782,713.9255013811791
Kepler-79 e,Kepler-79,300.5171067,44.3815508,1020.72,370.4401747814321,-628.4534778211782,713.9255013811791
Kepler-790 b,Kepler-790,286.9171489,38.8722123,703.168,159.3016188918745,-523.7597168104016,441.29807328960317
Kepler-791 b,Kepler-791,293.5958044,39.0294267,1266.34,393.7659746830538,-901.4746359657775,797.438921480682
Kepler-792 b,Kepler-792,292.0068239,38.8207001,1425.47,416.1607631568856,-1029.6809381878006,893.6062363487453
Kepler-793 b,Kepler-793,295.2167334,38.7744269,985.699,327.4009272197446,-695.2352742785683,617.2998176376334
Kepler-794 b,Kepler-794,288.1336793,38.9968923,931.192,225.24205365984497,-687.759647365747,585.9788610371871
Kepler-795 b,Kepler-795,291.0189951,38.5455728,492.122,138.05311541158764,-359.28459413303284,306.65938861840954
Kepler-796 b,Kepler-796,287.3078999,39.1447097,817.584,188.6430992844029,-605.3692676246696,516.12539945632
Kepler-797 b,Kepler-797,297.2089078,41.781645,1315.26,448.44608810592666,-872.2481291033939,876.3493452602796
Kepler-798 b,Kepler-798,292.4782785,42.1422821,972.274,275.63260592095423,-666.1501693586204,652.3705614853458
Kepler-799 b,Kepler-799,287.1748966,44.8784754,,,,
Kepler-799 c,Kepler-799,287.1748966,44.8784754,,,,
Kepler-8 b,Kepler-8,281.2881335,42.4510975,1021.87,147.58840671432637,-739.4047697002834,689.7220785562816
Kepler-80 b,Kepler-80,296.1125759,39.9787451,369.451,124.60432176412978,-254.20782220313887,237.3735190147346
Kepler-80 c,Kepler-80,296.1125759,39.9787451,369.451,124.60432176412978,-254.20782220313887,237.3735190147346
Kepler-80 d,Kepler-80,296.1125759,39.9787451,369.451,124.60432176412978,-254.20782220313887,237.3735190147346
Kepler-80 e,Kepler-80,296.1125759,39.9787451,369.451,124.60432176412978,-254.20782220313887,237.3735190147346
Kepler-80 f,Kepler-80,296.1125759,39.9787451,369.451,124.60432176412978,-254.20782220313887,237.3735190147346
Kepler-80 g,Kepler-80,296.1125759,39.9787451,369.451,124.60432176412978,-254.20782220313887,237.3735190147346
Kepler-800 b,Kepler-800,286.5747697,44.7951858,1019.26,206.33240609105704,-693.2431646117319,718.1446933005816
Kepler-801 b,Kepler-801,286.0751815,44.6646277,440.426,86.73726719911029,-300.99760028115816,309.5999880164957
Kepler-802 b,Kepler-802,286.0157998,45.0077413,780.585,152.265681189502,-530.4614109045223,552.0315173050182
Kepler-803 b,Kepler-803,299.2216728,44.6939033,639.771,222.02715310932138,-396.91818716879965,449.96314117692316
Kepler-804 b,Kepler-804,293.3722109,44.7851812,649.65,182.9160584823,-423.2571721632691,457.6463746842671
Kepler-804 c,Kepler-804,293.3722109,44.7851812,649.65,182.9160584823,-423.2571721632691,457.6463746842671
Kepler-805 b,Kepler-805,293.2300178,45.053364,638.49,177.90858454825815,-414.49195605172457,451.9009117189857
Kepler-806 b,Kepler-806,296.0071956,44.8535698,361.896,112.4940741569331,-230.57353392980727,255.24428210382004
Kepler-808 b,Kepler-808,291.5941514,48.4454907,,,,
Kepler-809 b,Kepler-809,289.0836324,48.0180689,961.405,210.25373719206087,-607.7379892951401,714.6659893889396
Kepler-81 b,Kepler-81,293.6369437,42.8248275,348.291,102.41965012965869,-234.0178989499567,236.75400507566107
Kepler-81 c,Kepler-81,293.6369437,42.8248275,348.291,102.41965012965869,-234.0178989499567,236.75400507566107
Kepler-81 d,Kepler-81,293.6369437,42.8248275,348.291,102.41965012965869,-234.0178989499567,236.75400507566107
Kepler-810 b,Kepler-810,296.6148615,48.0825642,1458.59,436.53327978076766,-871.172342512764,1085.3488993796736
Kepler-811 b,Kepler-811,285.4241593,47.8345586,985.041,175.86300694386458,-637.4166926079023,730.1218627424229
Kepler-812 b,Kepler-812,288.8552821,48.208517,1482.74,319.3428013616621,-935.1048819943135,1105.4939812088019
Kepler-813 b,Kepler-813,285.6626752,48.4353251,,,,
Kepler-814 b,Kepler-814,284.9105256,48.4315896,2055.77,350.97945745850683,-1318.1032513405255,1538.0531629783372
Kepler-815 b,Kepler-815,285.2211238,47.8813037,1259.28,221.73487278152962,-814.9323271228931,934.0797968067957
Kepler-816 b,Kepler-816,293.3628165,39.2124394,983.697,302.2424044939768,-699.6864488790424,621.8908183835282
Kepler-817 b,Kepler-817,296.0818498,39.161614,1484.46,506.04358501701046,-1033.7922613976766,937.4513011017744
Kepler-818 b,Kepler-818,296.2351072,39.3702865,925.037,316.11902924788546,-641.4462419685484,586.7784329547236
Kepler-819 b,Kepler-819,295.3708312,39.1772925,664.306,220.65042957434162,-465.29992544908197,419.65679899381735
Kepler-82 b,Kepler-82,292.8733696,42.9661583,904.326,257.2179890907902,-609.7106830990538,616.3580966280683
Kepler-82 c,Kepler-82,292.8733696,42.9661583,904.326,257.2179890907902,-609.7106830990538,616.3580966280683
Kepler-82 d,Kepler-82,292.8733696,42.9661583,904.326,257.2179890907902,-609.7106830990538,616.3580966280683
Kepler-82 e,Kepler-82,292.8733696,42.9661583,904.326,257.2179890907902,-609.7106830990538,616.3580966280683
Kepler-82 f,Kepler-82,292.8733696,42.9661583,904.326,257.2179890907902,-609.7106830990538,616.3580966280683
Kepler-820 b,Kepler-820,291.0201523,39.2206091,1387.2,385.4864409618903,-1003.1717485688408,877.1376669074642
Kepler-821 b,Kepler-821,285.6173937,39.3794684,614.571,127.88640312466507,-457.5013653445341,389.91676373903556
Kepler-822 b,Kepler-822,292.2760929,39.5501136,860.391,251.48263914308558,-613.907543446939,547.8564439609826
Kepler-823 b,Kepler-823,284.5825682,39.2201737,1389.27,270.98482698331645,-1041.6258418391376,878.4383655429273
Kepler-824 b,Kepler-824,290.477406,39.7319975,1201.4,323.2250798477881,-865.54510503972,767.9317540635828
Kepler-825 b,Kepler-825,294.769825,39.3984081,807.85,261.5516316175391,-566.8334066662552,512.749700716959
Kepler-825 c,Kepler-825,294.769825,39.3984081,807.85,261.5516316175391,-566.8334066662552,512.749700716959
Kepler-826 b,Kepler-826,284.8601128,39.2405076,779.596,154.84928145600844,-583.6011013100274,493.15451716300953
Kepler-827 b,Kepler-827,294.9660027,42.7085608,2046.68,634.7783888806106,-1363.3981934285828,1388.2005566796945
Kepler-828 b,Kepler-828,286.8872555,42.4712271,575.322,123.27409999260948,-406.06754770760085,388.4688490133377
Kepler-829 b,Kepler-829,282.3328312,42.4638125,1073.76,169.1884208799904,-773.8375160686289,724.9215920117636
Kepler-83 b,Kepler-83,282.2325197,43.6655662,400.409,61.370638751355756,-283.07250799222487,276.4615112438662
Kepler-83 c,Kepler-83,282.2325197,43.6655662,400.409,61.370638751355756,-283.07250799222487,276.4615112438662
Kepler-83 d,Kepler-83,282.2325197,43.6655662,400.409,61.370638751355756,-283.07250799222487,276.4615112438662
Kepler-830 b,Kepler-830,295.054238,42.7568316,,,,
Kepler-831 b,Kepler-831,294.9855607,42.7277355,593.54,184.16463842922656,-395.20233843360444,402.72599773151336
Kepler-832 b,Kepler-832,295.9261101,45.383869,1688.12,518.3830736462825,-1066.3308309765985,1201.6516476357817
Kepler-833 b,Kepler-833,290.4799052,45.6005798,467.37,114.40978076411477,-306.33033605753775,333.9264053296522
Kepler-834 b,Kepler-834,287.0544674,45.1803351,633.937,131.05189767547014,-427.1985334427021,449.6698045333516
Kepler-835 b,Kepler-835,283.5742181,45.7348003,2406.33,394.2033282097352,-1632.6553679424153,1723.2133514040518
Kepler-836 b,Kepler-836,287.4527659,45.7043964,980.035,205.27015918890592,-652.910113387801,701.4564468357889
Kepler-837 b,Kepler-837,285.2467607,45.95011,901.907,164.9079165050478,-605.0100204168477,648.2318188103463
Kepler-838 b,Kepler-838,285.4354695,45.975959,1104.04,204.20948294302048,-739.589220952041,793.8580433098207
Kepler-839 b,Kepler-839,291.074684,45.242544,944.561,239.14966624644,-620.5871327922633,670.7268672625945
Kepler-84 b,Kepler-84,298.2520208,40.4960842,1023.9,368.56276987208616,-685.870651755659,664.9166441927011
Kepler-84 c,Kepler-84,298.2520208,40.4960842,1023.9,368.56276987208616,-685.870651755659,664.9166441927011
Kepler-84 d,Kepler-84,298.2520208,40.4960842,1023.9,368.56276987208616,-685.870651755659,664.9166441927011
Kepler-84 e,Kepler-84,298.2520208,40.4960842,1023.9,368.56276987208616,-685.870651755659,664.9166441927011
